videoId,title,channel,pub_date,counts,likes_count,comment_count,url,comment
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,홍준표는 정계은퇴한다고 하지 않았나? 자신에게 막산이 라는 별명을 지어준 은혜를 갚으려는 이재명?
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,왜.. 명태균도 안으려고?
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,홍준표는 이재명 밀어라
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,아니 대통령 되겠지...근데 제발 25만원 뿌리는 건 하지마라ㅠㅠ... 그건 진짜 나라 망한다
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,당선확정 축하드립니다
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,신났군
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,홍하고 하지마세요.
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,"누가 믿냐
저게 거짓말을  한두번했나?"
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,발악 안해도 많은국민이 원하고 찍을건데  우짜겠어
nuZsgv3_6us,"이재명, '홍준표 통화' 공개...""같이 할 길 찾아야"" / YTN", YTN,2025-05-10T09:20:55Z,21145.0,191.0,117.0,https://www.youtube.com/watch?v=nuZsgv3_6us,ㅋㅋㅋㅋㅋ재명아 홍카콜라랑 단일화해서 홍카콜라한테 후보자리 내주고 밀어주바라 ㅋㅋㅋㅋ
